Division,Gender,Base Salary
PSB 2nd District Station,F,142972.69
PSB 4th District Patrol,M,93706
PSB 6th District Patrol,M,93706
FSB Special Operations Division Canine Section,M,93706
FSB Special Operations Division,M,98389
PSB 1st District Traffic Squad,M,93706
PSB 4th District Patrol,F,93706
ISB Criminal Investigations Division 4th District Investigative Section,M,90536
MSB Management and Budget Division Fleet Management Section,M,99852
PSB 6th District Patrol,F,85736.69
FSB Traffic Division School Safety Section,F,26705.61
PSB 2nd District Patrol,M,93706
FSB Special Operations Division,M,93706
FSB Traffic Division Collision Reconstruction,F,85740
PSB 2nd District Patrol,M,108226
FSB Traffic Division School Safety Section,F,27203.5
PSB 4th District Patrol,M,78894
PSB 4th District Community Action Team,M,78894
PSB 1st District Patrol,M,93706
PSB 3rd District Patrol,M,78894
PSB 6th District Patrol,M,84515
FSB Special Operations Division Tactical Operations Section,M,93706
PSB 5th District Traffic Squad,F,93706
PSB 1st District Station,M,140323.33
PSB 6th District Patrol,M,108226
PSB 4th District Patrol,F,93706
PSB 4th District Patrol,M,93706
ISB Family Crimes Division Family Outreach Section,F,93706
PSB 2nd District Patrol,M,93706
ISB Criminal Investigations Division Financial Crimes Section,M,62488
MSB Information Management and Technology DivisioinCrime Analysis Section,M,66743.95
PSB 1st District Patrol,M,93706
PSB 4th District Patrol,M,78894
PSB 1st District Patrol,M,90536
PSB 6th District Patrol,M,108226
PSB 2nd District Patrol,M,108226
PSB 3rd District Patrol,M,87473
PSB 1st District Patrol,M,93706
PSB 1st District Educational Facilities Officers,M,93706
PSB 3rd District Patrol,F,93706
PSB 3rd District Patrol,M,93706
MSB Communications Division,M,78363.82
PSB 5th District Patrol,M,93706
ISB Criminal Investigations Division 2nd District Investigative Section,M,93706
ISB Criminal Investigations Division Financial Crimes Section,M,108226
MSB Personnel Division,M,155634.02
FSB Traffic Division School Safety Section,F,24929.02
ISB Family Crimes Division Family Outreach Section,F,84515
ISB Family Crimes Division Child Abuse Sexual Assault Section,M,97613
MSB Communications Division,M,82691
PSB 1st District Patrol,M,93706
ISB Family Crimes Division Pedophile Section,M,93706
PSB 6th District Patrol,M,84515
MSB Training and Education Division,F,93706
FSB Special Operations Division Canine Section,M,87473
PSB 5th District Patrol,M,98389
PSB 5th District Patrol,M,93706
PSB 6th District Patrol,M,93706
PSB 4th District Patrol,F,93706
PSB 3rd District Patrol,M,87473
PSB 2nd District Patrol,M,81657
PSB 1st District Patrol,M,87473
FSB Special Operations Division Tactical Operations Section,M,78894
FSB Security Services Division,M,83400.36
FSB Traffic Division School Safety Section,F,27203.5
MSB Communications Division,F,99852
FSB Traffic Division School Safety Section,F,27203.5
ISB Major Crimes Division Robbery Section,M,93706
PSB 2nd District Patrol,M,93706
MSB Communications Division,F,82691
PSB 1st District Patrol,M,93706
ISB Family Crimes Division Family Outreach Section,F,78894
PSB 1st District Station,F,139149.73
HQ Office of the Chief,F,159176.83
FSB Special Operations Division,M,93706
FSB Special Operations Division Canine Section,M,93706
MSB Communications Division,F,97655
PSB 4th District Traffic Squad,M,78894
ISB Family Crimes Division Pedophile Section,F,93706
PSB 3rd District Patrol,M,108226
FSB Special Operations Division,M,93706
PSB 5th District Patrol,M,108226
PSB 6th District Patrol,M,93706
PSB 3rd District Special Assignment Team,M,84515
ISB Criminal Investigations Division 5th District Investigative Section,F,108226
FSB Special Operations Division Canine Section,F,93706
ISB Major Crimes Division Homicide and Sex Section,M,93706
PSB 4th District Station,F,133759.45
PSB 5th District Patrol,M,93706
FSB Traffic Division School Safety Section,F,24204.48
PSB 1st District Patrol,M,93706
PSB 2nd District Special Assignment Team,M,93706
PSB 1st District Patrol,M,93706
PSB 4th District Traffic Squad,M,98389
PSB 1st District Patrol,M,93706
MSB Communications Division,M,128122.94
PSB 4th District Patrol,M,81657
MSB Training and Education Division,F,81657
PSB 5th District Community Action Team,M,78894
PSB 4th District Patrol,F,78894
ISB Family Crimes Division Family Outreach Section,M,91123
FSB Animal Services Division,F,81657.21
PSB 2nd District Patrol,M,93706
PSB 5th District Patrol,M,108226
PSB 1st District Patrol,M,98389
PSB 2nd District Special Assignment Team,M,87473
MSB Communications Division,M,67844.65
PSB 6th District Special Assignment Team,M,90536
FSB Special Operations Division Canine Section,M,93706
PSB 3rd District Patrol,M,81657
PSB 5th District Patrol,M,84515
MSB Communications Division,F,74627.45
PSB 3rd District Patrol,M,78894
PSB 4th District Patrol,M,81657
ISB Criminal Investigations Division 3rd District Investigative Section,M,93706
Management Services Bureau,F,78902
HQ Office of the Chief Internal Affairs Division,M,108226
PSB 6th District Patrol,M,84515
MSB Communications Division,M,85638.98
Field Services Bureau,M,93706
MSB Training and Education Division,M,108226
PSB 3rd District Patrol,M,104566
ISB Criminal Investigations Division Financial Crimes Section,M,71852
PSB 1st District Patrol,M,84515
FSB Traffic Division Collision Reconstruction,M,93706
FSB Traffic Division School Safety Section,F,27203.5
PSB 2nd District Station,F,82691
FSB Traffic Division School Safety Section,F,27203.5
MSB Communications Division,M,74627.45
MSB Personnel Division,M,93706
MSB Policy and Planning Division,M,93706
PSB 5th District Patrol,M,93706
PSB 4th District Patrol,M,93706
PSB 2nd District Patrol,F,93706
PSB 3rd District Patrol,F,98389
PSB 5th District Patrol,M,98389
ISB Major Crimes Division Cold Case Section,M,93706
FSB Special Operations Division Tactical Operations Section,M,93706
PSB 6th District Patrol,M,93706
PSB 6th District Patrol,M,45268
PSB 5th District Patrol,M,90536
PSB 5th District Patrol,M,108226
ISB Criminal Investigations Division Central Auto Theft Section,M,87473
Field Services Bureau,F,93706
FSB Traffic Division Collision Reconstruction,M,81657
PSB 6th District Patrol,M,87473
PSB 2nd District Special Assignment Team,M,84515
PSB 3rd District Patrol,F,84515
PSB 2nd District Traffic Squad,M,93706
MSB Communications Division,F,94203.7
PSB 1st District Special Assignment Team,M,95063
FSB Special Operations Division Tactical Operations Section,M,90536
PSB 6th District Patrol,M,81657
ISB Criminal Investigations Division,F,55268.74
ISB Criminal Investigations Division 4th District Investigative Section,F,68306.65
ISB Criminal Investigations Division Forensic Services Section,M,65211.81
FSB Security Services Division,M,68575
PSB 5th District Patrol,M,108226
PSB 5th District Patrol,F,93706
MSB Communications Division,F,80871
PSB 2nd District Patrol,M,98389
PSB 6th District Patrol,M,93706
PSB 6th District Traffic Squad,M,93706
PSB 2nd District Special Assignment Team,M,108226
ISB Criminal Investigations Division Crime Laboratory Section,F,109761
ISB Criminal Investigations Division Central Auto Theft Section,M,98389
PSB 5th District Special Assignment Team,M,84515
PSB 6th District Patrol,F,78894
ISB Criminal Investigations Division 5th District Investigative Section,F,71852
FSB Traffic Division School Safety Section,F,26705.61
PSB 4th District Patrol,M,70139
FSB Traffic Division School Safety Section,F,21830.01
FSB Traffic Division School Safety Section,F,27203.5
FSB Traffic Division School Safety Section,F,27203.5
PSB 5th District Traffic Squad,M,93706
PSB 1st District Patrol,M,93706
ISB Criminal Investigations Division 4th District Investigative Section,M,108226
PSB 2nd District Patrol,F,71852
FSB Security Services Division,M,90848
PSB 1st District Patrol,M,93706
PSB 5th District Patrol,M,93706
PSB 4th District Community Action Team,M,93706
PSB 6th District Patrol,F,78894
PSB 3rd District Patrol,M,98389
PSB 1st District Patrol,M,98389
FSB Special Operations Division Canine Section,M,93706
PSB 2nd District Patrol,F,90536
PSB 6th District Traffic Squad,M,93706
PSB 6th District Patrol,M,93706
ISB Criminal Investigations Division 1st District Investigative Section,M,84515
MSB Training and Education Division,M,108226
Management Services Bureau,M,177649
ISB Criminal Investigations Division Central Auto Theft Section,F,78902
ISB Major Crimes Division Cold Case Section,M,93706
ISB Major Crimes Division Robbery Section,M,108226
PSB 2nd District Patrol,M,93706
PSB 6th District Traffic Squad,M,93706
FSB Traffic Division School Safety Section,F,27203.5
MSB Policy and Planning Division,M,159176.83
ISB Criminal Investigations Division Financial Crimes Section,M,93706
PSB 3rd District Traffic Squad,M,108226
HQ Office of the Chief Internal Affairs Division,F,108226
MSB Information Mgmt and Tech Division Warrant Control Section,F,71852
MSB Training and Education Division,F,93706
PSB 2nd District Patrol,M,93706
MSB Management and Budget Division Abandoned Vehicle Section,F,62488
ISB Family Crimes Division,F,62488
ISB Major Crimes Division Fugitive Section,M,93706
PSB 2nd District Traffic Squad,M,98389
Field Services Bureau,M,98389
ISB Criminal Investigations Division 4th District Investigative Section,F,93706
MSB Information Management and Technology DivisioinCrime Analysis Section,M,82745.28
PSB 2nd District Patrol,M,93706
PSB 5th District Station,M,151324.23
PSB 6th District Patrol,M,108226
FSB Traffic Division School Safety Section,F,23385.81
PSB 4th District Patrol,F,93706
PSB 4th District Patrol,F,71852
ISB Major Crimes Division Cold Case Section,M,93706
FSB Traffic Division School Safety Section,M,24204.48
PSB 4th District Patrol,M,93706
ISB Major Crimes Division Homicide and Sex Section,F,93706
PSB 2nd District Special Assignment Team,M,98389
FSB Special Operations Division Tactical Operations Section,M,93706
MSB Communications Division,F,99852
PSB 1st District Patrol,M,93706
ISB Family Crimes Division,F,71896.55
PSB 6th District Special Assignment Team,M,84515
PSB 2nd District Special Assignment Team,M,87473
FSB Special Operations Division Canine Section,M,93706
PSB 6th District Station,M,151324.23
PSB 3rd District Patrol,F,93706
ISB Criminal Investigations Division 3rd District Investigative Section,M,93706
FSB Security Services Division,M,68575
PSB 1st District Patrol,F,87473
FSB Traffic Division School Safety Section,F,22593.71
PSB 4th District Patrol,M,93706
MSB Policy and Planning Division,F,93706
ISB Criminal Investigations Division 5th District Investigative Section,M,93706
FSB Animal Services Division,F,53398.75
FSB Security Services Division,M,63423.58
PSB 4th District Station,F,62124.74
HQ Office of the Chief,M,93706
PSB 3rd District Traffic Squad,M,93706
MSB Communications Division,F,99852
FSB Traffic Division School Safety Section,F,27203.5
FSB Security Services Division,M,71852
PSB 4th District Community Action Team,M,108226
FSB Traffic Division School Safety Section,F,26705.61
PSB 3rd District Patrol,M,108226
PSB 3rd District Station,F,71852
FSB Traffic Division School Safety Section,F,25800.8
PSB 5th District Special Assignment Team,M,87473
PSB 3rd District Station,M,143995.19
FSB Special Operations Division Tactical Operations Section,M,108226
PSB 4th District Station,F,82691
FSB Special Operations Division Canine Section,M,93706
HQ Office of the Chief,M,90536
MSB Information Mgmt and Tech Division Warrant Control Section,F,71852
FSB Special Operations Division Tactical Operations Section,M,93706
PSB 3rd District Patrol,M,84515
PSB 5th District Patrol,M,108226
PSB 3rd District Station,M,134735.53
PSB 3rd District Station,F,93706
PSB 4th District Patrol,F,93706
PSB 4th District Patrol,M,84515
ISB Criminal Investigations Division 3rd District Investigative Section,M,91847
PSB 5th District Special Assignment Team,M,108226
FSB Traffic Division School Safety Section,F,21829.66
FSB Traffic Division School Safety Section,F,27203.5
PSB 2nd District Community Action Team,M,101030
FSB Animal Services Division,F,58574.81
PSB 3rd District Patrol,F,63069.98
PSB 4th District Patrol,M,93706
FSB Traffic Division Automated Traffic Enforcement Section,F,61688.83
PSB 5th District Patrol,F,71852
PSB 6th District Patrol,F,98389
MSB Communications Division,M,97505.32
FSB Traffic Division School Safety Section,F,24204.48
HQ Office of the Chief Internal Affairs Division,F,108226
PSB 2nd District Patrol,M,90536
ISB Criminal Investigations Division Financial Crimes Section,M,108226
ISB Major Crimes Division Robbery Section,M,93706
ISB Criminal Investigations Division 4th District Investigative Section,F,87473
FSB Traffic Division Automated Traffic Enforcement Section,M,60096.82
PSB 5th District Educational Facilities Officers,M,93706
PSB 5th District Patrol,M,98389
FSB Special Operations Division Canine Section,M,93706
PSB 4th District Patrol,M,108226
MSB Information Mgmt and Tech Division Records Management Section,F,71852
ISB Criminal Investigations Division Central Auto Theft Section,M,93706
PSB 4th District Patrol,M,101030
FSB Traffic Division School Safety Section,F,25800.8
HQ Office of the Chief Internal Affairs Division,F,159828.88
PSB 4th District Educational Facilities Officers,M,93706
ISB Criminal Investigations Division Financial Crimes Section,M,93706
FSB Traffic Division School Safety Section,F,27203.5
FSB Traffic Division School Safety Section,F,27203.5
PSB 5th District Patrol,F,93706
PSB 6th District Patrol,M,108226
PSB 6th District Special Assignment Team,M,95063
FSB Animal Services Division,M,81606.94
PSB 5th District Special Assignment Team,M,87473
PSB 4th District Patrol,M,94312
FSB Traffic Division School Safety Section,F,27203.5
PSB 5th District Station,M,93706
MSB Communications Division,F,82691
FSB Traffic Division Automated Traffic Enforcement Section,F,57506.24
FSB Special Operations Division Tactical Operations Section,M,93706
MSB Personnel Division Background Section,M,90848
FSB Special Operations Division Canine Section,M,93706
ISB Major Crimes Division Robbery Section,M,93706
PSB 5th District Traffic Squad,M,93706
PSB 4th District Patrol,F,71852
PSB 4th District Patrol,M,93706
Field Services Bureau,M,177649
FSB Traffic Division School Safety Section,F,22593.71
PSB 5th District Patrol,M,93706
FSB Special Operations Division,M,108226
Patrol Services Bureau,M,143995.2
PSB 5th District Patrol,M,93706
FSB Security Services Division,M,63423.57
HQ Office of the Chief,M,84515
PSB 3rd District Patrol,F,93706
PSB 5th District Patrol,M,93706
PSB 4th District Patrol,F,108226
PSB 1st District Patrol,M,108226
HQ Office of the Chief,F,84515
ISB Major Crimes Division Homicide and Sex Section,M,93706
FSB Traffic Division School Safety Section,F,26582.69
PSB 6th District Patrol,M,93706
FSB Traffic Division School Safety Section,F,26083.5
ISB Family Crimes Division,F,70018.15
HQ Office of the Chief,M,108226
ISB Major Crimes Division,M,143995.19
PSB 4th District Patrol,M,108226
MSB Communications Division,M,99852
FSB Traffic Division School Safety Section,F,27203.5
PSB 6th District Patrol,M,108226
PSB 6th District Patrol,F,70271
FSB Traffic Division School Safety Section,F,27203.5
ISB Criminal Investigations Division,F,141345.83
MSB Information Management and Technology Division,M,109761
HQ Office of the Chief,M,108226
MSB Capital Development and Facilities Division,M,95236
PSB 5th District Station,F,71852
FSB Security Services Division,M,68575
MSB Communications Division,F,92647.59
ISB Family Crimes Division Family Outreach Section,F,93706
PSB 3rd District Patrol,M,91123
FSB Security Services Division,F,68575
PSB 2nd District Station,M,93706
PSB 5th District Patrol,M,93706
ISB Major Crimes Division Victim Witness Assistance Section,F,109761
ISB Criminal Investigations Division Forensic Services Section,F,85741.56
FSB Special Operations Division,F,71852
PSB 2nd District Patrol,F,90536
MSB Communications Division,F,109761
ISB Family Crimes Division Pedophile Section,M,93706
PSB 2nd District Patrol,M,98389
MSB Information Management and Technology Division,M,144751
PSB 2nd District Educational Facilities Officers,F,93706
ISB Family Crimes Division Family Outreach Section,F,93706
PSB 4th District Patrol,M,129816.5
FSB Security Services Division,M,61754.2
FSB Traffic Division Collision Reconstruction,M,93706
FSB Animal Services Division,M,84515.22
FSB Traffic Division School Safety Section,F,25233.06
FSB Traffic Division School Safety Section,F,27203.5
PSB 2nd District Patrol,F,70271
ISB Major Crimes Division,M,108226
PSB 2nd District Patrol,M,93706
ISB Criminal Investigations Division 2nd District Investigative Section,F,68929.5
FSB Traffic Division School Safety Section,F,22593.74
PSB 1st District Patrol,M,93706
FSB Traffic Division School Safety Section,F,25800.8
FSB Security Services Division,F,55269.68
FSB Traffic Division School Safety Section,F,26705.61
FSB Traffic Division Automated Traffic Enforcement Section,F,71852
FSB Traffic Division School Safety Section,F,27203.5
MSB Information Management and Technology DivisioinCrime Analysis Section,M,86669
PSB 4th District Educational Facilities Officers,M,93706
ISB Criminal Investigations Division 3rd District Investigative Section,M,93706
MSB Personnel Division Recruitment Section,F,93706
MSB Training and Education Division,F,108226
ISB Major Crimes Division Victim Witness Assistance Section,F,86669
PSB 4th District Patrol,F,71157
PSB 4th District Educational Facilities Officers,M,93706
PSB 2nd District Patrol,F,58032.17
PSB 4th District Patrol,F,97613
FSB Traffic Division School Safety Section,F,24380.46
FSB Traffic Division School Safety Section,F,27203.5
FSB Traffic Division School Safety Section,F,26605
FSB Special Operations Division,M,98389
FSB Traffic Division School Safety Section,F,27203.5
PSB 5th District Patrol,M,93706
FSB Special Operations Division Canine Section,M,93706
MSB Management and Budget Division Abandoned Vehicle Section,M,93706
ISB Criminal Investigations Division 3rd District Investigative Section,M,93706
FSB Traffic Division Automated Traffic Enforcement Section,F,56686.19
MSB Communications Division,M,89921.71
MSB Personnel Division Background Section,M,90848
PSB 3rd District Patrol,F,93706
PSB 3rd District Patrol,M,93706
FSB Special Operations Division Canine Section,M,98389
PSB 1st District Patrol,M,77767
PSB 3rd District Traffic Squad,M,93706
PSB 4th District Station,M,134270.7
PSB 5th District Patrol,M,108226
PSB 3rd District Special Assignment Team,M,90536
PSB 1st District Station,M,142972.69
FSB Special Operations Division Tactical Operations Section,M,93706
PSB 2nd District Patrol,M,108226
FSB Traffic Division Alcohol Initiatives Section,F,93706
MSB Communications Division,F,143907.89
ISB Family Crimes Division Family Outreach Section,F,93706
PSB 4th District Patrol,M,81657
PSB 4th District Patrol,F,93706
MSB Training and Education Division,M,108226
MSB Communications Division,F,99852
PSB 4th District Patrol,M,91123
PSB 4th District Patrol,F,71852
FSB Special Operations Division Canine Section,M,93706
MSB Communications Division,M,77245.88
FSB Security Services Division,M,68575
MSB Training and Education Division,M,143995.19
FSB Traffic Division School Safety Section,F,27203.5
PSB 4th District Traffic Squad,M,93706
HQ Office of the Chief Internal Affairs Division,M,108226
ISB Criminal Investigations Division 2nd District Investigative Section,M,93706
FSB Special Operations Division Canine Section,M,108226
MSB Training and Education Division,F,90848
PSB 3rd District Patrol,M,78894
FSB Traffic Division School Safety Section,F,27203.5
PSB 2nd District Station,M,134735.53
PSB 3rd District Educational Facilities Officers,F,93706
MSB Training and Education Division,F,98389
MSB Information Management and Technology Division,M,78910.94
PSB 5th District Patrol,M,93706
PSB 4th District Educational Facilities Officers,F,93706
ISB Family Crimes Division Child Abuse Sexual Assault Section,M,98389
PSB 1st District Educational Facilities Officers,M,93706
ISB Criminal Investigations Division Central Auto Theft Section,M,93706
PSB 2nd District Patrol,M,93706
PSB 3rd District Patrol,F,71852
Patrol Services Bureau,F,101030
MSB Communications Division,F,80871
PSB 6th District Station,M,82691
MSB Information Mgmt and Tech Division Telephone Reporting Section,F,71852
PSB 6th District Patrol,M,93706
ISB Major Crimes Division Fugitive Section,M,93706
PSB 4th District Patrol,M,93706
PSB 6th District Station,M,134270.6
FSB Traffic Division School Safety Section,F,23384.53
PSB 3rd District Patrol,M,93706
MSB Training and Education Division,M,93706
MSB Communications Division,F,82377.17
Management Services Bureau,F,75290
PSB 3rd District Community Action Team,M,78894
PSB 6th District Traffic Squad,M,90536
FSB Traffic Division Automated Traffic Enforcement Section,M,93706
ISB Family Crimes Division Pedophile Section,F,93706
PSB 4th District Traffic Squad,M,108226
FSB Traffic Division School Safety Section,M,93706
PSB Duty Commander,M,153174.16
FSB Traffic Division School Safety Section,F,21829.66
PSB 2nd District Patrol,M,93706
FSB Traffic Division School Safety Section,F,24204.48
FSB Traffic Division School Safety Section,F,27203.5
PSB 2nd District Station,F,93706
ISB Criminal Investigations Division Crime Laboratory Section,F,109761
ISB Family Crimes Division Family Outreach Section,M,81657
FSB Traffic Division School Safety Section,F,26705.61
PSB 6th District Patrol,F,93706
FSB Security Services Division,F,59207.79
FSB Special Operations Division Tactical Operations Section,M,108226
PSB 5th District Patrol,M,84515
PSB 1st District Patrol,M,79340
PSB 2nd District Patrol,M,93706
ISB Family Crimes Division,M,159828.13
PSB 6th District Special Assignment Team,M,90536
PSB 4th District Patrol,M,81657
FSB Traffic Division School Safety Section,F,27203.5
PSB 1st District Patrol,M,93706
ISB Criminal Investigations Division 6th District Investigative Section,F,87473
FSB Traffic Division School Safety Section,F,27203.5
MSB Personnel Division Recruitment Section,F,108226
FSB Traffic Division School Safety Section,F,27203.5
FSB Security Services Division,M,67688.27
PSB 2nd District Station,M,142972.69
FSB Traffic Division School Safety Section,F,27203.5
FSB Special Operations Division,M,159828.88
MSB Information Management and Technology Division,M,82671.96
PSB 1st District Patrol,M,71157
PSB 1st District Patrol,F,93706
PSB 3rd District Traffic Squad,M,87473
PSB 4th District Special Assignment Team,M,93706
FSB Traffic Division School Safety Section,F,21091.46
ISB Criminal Investigations Division Forensic Services Section,M,93706
PSB 1st District Traffic Squad,M,93706
PSB 6th District Patrol,F,93706
ISB Major Crimes Division Fugitive Section,M,81657
PSB 5th District Special Assignment Team,M,98389
PSB 1st District Patrol,M,93706
PSB 1st District Patrol,F,71852
FSB Traffic Division School Safety Section,F,93706
ISB Criminal Investigations Division Crime Laboratory Section,M,109761
PSB 1st District Patrol,M,93706
Field Services Bureau,M,93706
PSB 3rd District Station,M,108226
MSB Communications Division,F,83947.4
PSB 2nd District Patrol,M,93706
PSB 2nd District Traffic Squad,M,93706
ISB Major Crimes Division Victim Witness Assistance Section,F,86669
ISB Major Crimes Division Victim Witness Assistance Section,F,86669
PSB 1st District Patrol,M,101030
FSB Traffic Division School Safety Section,F,27203.5
FSB Security Services Division,F,73327.21
PSB 6th District Special Assignment Team,M,87473
MSB Information Management and Technology Division,F,129165.06
MSB Management and Budget Division,F,83771.58
PSB 4th District Patrol,M,93706
PSB 2nd District Traffic Squad,M,108226
FSB Traffic Division Automated Traffic Enforcement Section,M,68575
FSB Traffic Division School Safety Section,F,24929.77
PSB 1st District Patrol,M,87473
PSB 3rd District Patrol,M,84515
FSB Media Services Division,M,93706
HQ Office of the Chief Internal Affairs Division,M,129816.5
FSB Security Services Division,M,65633.97
MSB Information Mgmt and Tech Division Warrant Control Section,F,71852
FSB Traffic Division School Safety Section,M,23385.81
MSB Communications Division,F,109761
PSB 1st District Patrol,F,93706
PSB 2nd District Community Action Team,M,98389
FSB Security Services Division,F,63423.57
MSB Communications Division,F,79949.9
PSB 3rd District Traffic Squad,M,93706
FSB Traffic Division School Safety Section,F,27203.5
PSB 4th District Educational Facilities Officers,M,93706
MSB Training and Education Division,M,93706
PSB 5th District Patrol,M,93706
MSB Communications Division,M,159828.13
PSB 1st District Patrol,M,108226
HQ Office of the Chief,F,108226
FSB Traffic Division School Safety Section,F,26605
FSB Media Services Division,F,107346
PSB 4th District Patrol,M,93706
MSB Communications Division,M,86882.53
PSB 1st District Station,F,82691
MSB Information Mgmt and Tech Division Records Management Section,M,71852
PSB 4th District Patrol,F,60064.34
PSB 5th District Patrol,M,71852
ISB Major Crimes Division Homicide and Sex Section,M,108226
FSB Security Services Division,F,68575
PSB 2nd District Community Action Team,M,87473
PSB 2nd District Patrol,M,93706
ISB Criminal Investigations Division 5th District Investigative Section,M,93706
ISB Criminal Investigations Division 3rd District Investigative Section,F,93706
PSB 4th District Educational Facilities Officers,F,93706
MSB Management and Budget Division,F,43737
PSB 3rd District Patrol,M,84515
ISB Criminal Investigations Division Forensic Services Section,F,68327.11
ISB Criminal Investigations Division Crime Laboratory Section,F,76850.92
FSB Traffic Division School Safety Section,M,21830.01
PSB 5th District Patrol,M,76227
ISB Criminal Investigations Division Forensic Services Section,F,79869.81
FSB Traffic Division School Safety Section,F,17158.06
MSB Communications Division,M,63758.32
FSB Traffic Division Alcohol Initiatives Section,M,39444
FSB Animal Services Division,F,71235.28
PSB 6th District Community Action Team,F,63260
MSB Communications Division,F,52561.61
MSB Training and Education Division,M,52500
PSB 2nd District Community Action Team,M,71157
MSB Communications Division,F,67843.12
PSB 3rd District Patrol,M,62358
PSB 3rd District Community Action Team,M,71157
PSB 4th District Patrol,F,78894
MSB Communications Division,F,72267.66
PSB 4th District Traffic Squad,M,76227
PSB 3rd District Patrol,M,76227
ISB Major Crimes Division Fugitive Section,M,90536
PSB 1st District Special Assignment Team,M,76227
MSB Training and Education Division,F,76227
PSB 3rd District Patrol,M,76227
PSB 6th District Special Assignment Team,M,76227
PSB 3rd District Special Assignment Team,M,76227
PSB 3rd District Community Action Team,M,73647
PSB 5th District Patrol,M,76227
PSB 4th District Special Assignment Team,M,76227
PSB 3rd District Patrol,M,76227
FSB Special Operations Division Canine Section,M,76227
PSB 2nd District Patrol,M,76227
PSB 3rd District Patrol,F,87473
PSB 1st District Special Assignment Team,M,87473
PSB 1st District Patrol,M,76227
ISB Criminal Investigations Division 3rd District Investigative Section,F,76227
PSB 6th District Patrol,M,76227
ISB Family Crimes Division Family Outreach Section,F,76227
MSB Training and Education Division,M,76227
PSB 2nd District Patrol,M,80037
ISB Criminal Investigations Division 3rd District Investigative Section,M,93706
FSB Security Services Division,M,76699.31
FSB Traffic Division School Safety Section,F,21829.68
ISB Major Crimes Division Robbery Section,M,87473
MSB Management and Budget Division Abandoned Vehicle Section,M,56068.68
FSB Traffic Division School Safety Section,F,21829.68
FSB Traffic Division School Safety Section,F,21829.68
FSB Traffic Division School Safety Section,F,21829.68
FSB Traffic Division School Safety Section,F,21829.7
PSB 1st District Patrol,M,68751
FSB Traffic Division School Safety Section,F,21829.7
ISB Criminal Investigations Division Forensic Services Section,M,72271.08
FSB Traffic Division School Safety Section,F,21830
MSB Personnel Division Background Section,F,90848
MSB Personnel Division Background Section,M,90303.47
MSB Personnel Division Background Section,M,90303.47
MSB Personnel Division Background Section,M,90303.47
PSB 5th District Patrol,M,61120
FSB Traffic Division School Safety Section,F,21830.01
MSB Communications Division,F,74797.05
MSB Communications Division,F,68007.37
MSB Information Mgmt and Tech Division Warrant Control Section,M,53399.48
MSB Communications Division,M,67776.54
MSB Management and Budget Division,F,51978.36
FSB Security Services Division,M,71599.13
MSB Training and Education Division,M,52500
Patrol Services Bureau,F,64486.9
FSB Traffic Division Automated Traffic Enforcement Section,M,98380.43
FSB Animal Services Division,M,44421.95
MSB Communications Division,M,52561.43
PSB 4th District Patrol,M,71157
ISB Criminal Investigations Division Forensic Services Section,M,67501.9
FSB Traffic Division School Safety Section,F,21091.8
FSB Traffic Division Automated Traffic Enforcement Section,M,58815.77
FSB Traffic Division School Safety Section,M,21091.8
FSB Traffic Division Automated Traffic Enforcement Section,M,68938.12
ISB Criminal Investigations Division Forensic Services Section,F,74252.1
PSB 6th District Patrol,M,73647
PSB 4th District Patrol,M,73647
PSB 5th District Patrol,M,73647
PSB 5th District Community Action Team,M,73647
PSB 5th District Community Action Team,M,73647
PSB 6th District Patrol,M,73647
PSB 3rd District Patrol,M,73647
PSB 1st District Patrol,M,73647
PSB 4th District Patrol,M,73647
PSB 4th District Patrol,M,73647
PSB 3rd District Patrol,M,73647
ISB Criminal Investigations Division Forensic Services Section,F,56883.57
PSB 3rd District Patrol,M,73647
ISB Criminal Investigations Division 6th District Investigative Section,M,73647
PSB 4th District Patrol,M,73647
PSB 6th District Patrol,M,73647
PSB 3rd District Patrol,M,76227
ISB Criminal Investigations Division Central Auto Theft Section,F,73647
PSB 6th District Patrol,M,72595
PSB 3rd District Patrol,M,73647
ISB Criminal Investigations Division 1st District Investigative Section,M,73647
PSB 4th District Patrol,M,73647
PSB 6th District Patrol,M,73647
PSB 4th District Patrol,M,73647
PSB 4th District Patrol,M,87473
PSB 3rd District Patrol,M,73647
PSB 2nd District Patrol,F,73647
PSB 1st District Patrol,M,73647
PSB 6th District Community Action Team,M,76227
PSB 3rd District Patrol,M,73647
PSB 6th District Patrol,F,73647
PSB 5th District Patrol,M,73647
MSB Communications Division,F,67843.11
FSB Traffic Division School Safety Section,M,21829.66
ISB Criminal Investigations Division 1st District Investigative Section,M,87473
PSB 2nd District Traffic Squad,M,78894
PSB 4th District Patrol,M,78894
PSB 4th District Patrol,M,87473
PSB 3rd District Patrol,M,78894
ISB Criminal Investigations Division Forensic Services Section,M,104680
ISB Criminal Investigations Division Forensic Services Section,F,104680
FSB Animal Services Division,F,50962.86
MSB Management and Budget Division,M,77409.31
FSB Traffic Division School Safety Section,F,21830.18
FSB Traffic Division School Safety Section,F,21830.01
FSB Animal Services Division,F,64849.95
FSB Animal Services Division,M,64849.95
FSB Animal Services Division,F,68092.45
MSB Training and Education Division,M,52500
PSB 4th District Patrol,M,51978.36
PSB 3rd District Patrol,F,71157
PSB 4th District Patrol,M,71157
